page,text
56,"Em meu laboratório na Universidade Cornell trabalhamos, entre outras
coisas, com química orgânica pré-biológica, compondo algumas notas para a
música da vida. Misturamos e inflamamos com centelhamento os gases que
existiam na Terra em seus primórdios: hidrogênio, água, amônia, metano,
hidrogênio, sulfato de hidrogênio [ou gás sulfídrico] — todos presentes hoje
em dia, aliás, no planeta Júpiter e em todo o cosmos. Esse inflamar
corresponde a relampejos — também presentes na Terra antiga e no Júpiter
moderno. O recipiente no qual se processa a reação fica no início
transparente: os gases precursores são invisíveis. Mas após dez minutos de
centelhamento vemos um estranho pigmento marrom se formando nas
paredes do recipiente. O interior aos poucos vai ficando opaco, coberto com
espessa camada de alcatrão. Se tivéssemos usado luz ultravioleta — simulando
o Sol primordial —, os resultados teriam sido mais ou menos os mesmos. O
alcatrão é uma coleção riquíssima de moléculas orgânicas complexas, entre as
quais as partes que constituem as proteínas e os ácidos nucleicos. A matéria
da vida, assim se revela, pode ser criada com muita facilidade.
Esses experimentos foram realizados pela primeira vez no início da década
de 1950 por Stanley Miller, então aluno de pós-graduação do químico
Harold Urey. Urey tinha alegado, de maneira convincente, que a atmosfera
primordial da Terra era rica em hidrogênio, como na maior parte do cosmos;
que o hidrogênio tinha desde então se afastado da Terra para o espaço, mas
não do enorme planeta Júpiter; e que a origem da vida ocorrera antes dessa
perda do hidrogênio. Depois de Urey ter sugerido que esses gases deveriam
ser incendiados por ignição, alguém lhe perguntou o que esperava obter com
esse experimento. Urey respondeu: “Beilstein”. Beilstein é o compêndio alemão
em 28 volumes que lista todas as moléculas orgânicas conhecidas pelos
químicos.
Usando apenas os gases mais abundantes presentes na Terra primeva e
quase toda fonte de energia capaz de romper ligações químicas, podemos
produzir os blocos de construção essenciais da vida. Mas em nosso recipiente
só existem as notas que compõem a música da vida — não a própria música.
Os blocos de construção moleculares têm de ser juntados na sequência
correta. A vida com certeza é mais do que aminoácidos que formam suas
"
57,"proteínas e nucleotídeos que formam seus ácidos nucleicos. Mas mesmo com
a ordenação desses blocos de construção numa longa cadeia de moléculas
houve um progresso substancial no laboratório. Aminoácidos foram reunidos
nas condições existentes na Terra em tempos primordiais para formar
moléculas parecidas com proteínas. Algumas delas controlam fracamente
reações químicas úteis, como fazem as enzimas. Nucleotídeos foram juntados
em filamentos com algumas dúzias de unidades. Sob circunstâncias adequadas
no tubo de ensaio, ácidos nucleicos curtos sintetizam cópias idênticas de si
mesmos.
Ninguém até agora conseguiu misturar os gases e as águas da Terra
primitiva e no final do experimento ver algo sair se arrastando do tubo de
ensaio. As menores coisas vivas conhecidas, os viroides, são formadas por
menos de 10 mil átomos. Eles causam várias e diversas doenças em plantas
cultivadas e é provável que tenham evoluído em tempos mais recentes a
partir de organismos mais complexos, e não a partir de organismos mais
simples. Na verdade, é difícil imaginar um organismo ainda mais simples que
esteja, em qualquer sentido, vivo. Viroides são compostos apenas de ácido
nucleico, ao contrário dos vírus, que têm também um revestimento de
proteína. Não são mais do que um único filamento de RNA com uma
geometria ou linear ou em círculo fechado. Os viroides podem ser tão
pequenos e ainda assim vicejar porque são inveterados e persistentes
parasitas. Assim como os vírus, eles se apoderam da maquinaria molecular de
uma célula muito maior e que funciona bem e a transformam de fábrica para
produzir mais células numa fábrica para produzir mais viroides.
Os menores organismos de vida livre que se conhece são os microplasmas
(que no início foram chamados de PPLO, sigla em inglês de pleuropneumonia-
like organisms) e minúsculos animais semelhantes. São formados por cerca de
50 milhões de átomos. Esses organismos, tendo de ser mais autossuficientes,
são mais complicados do que viroides e vírus. Mas o meio ambiente terrestre
hoje não é extremamente favorável a formas simples de vida. É preciso
trabalhar duro para obter sustento. É preciso ter cuidado com predadores.
No entanto, na história primeva de nosso planeta, quando enormes
quantidades de moléculas orgânicas estavam sendo produzidas pela luz solar
"
58,"numa atmosfera rica em hidrogênio, organismos não parasitas muito simples
tiveram uma oportunidade para lutar. As primeiras coisas vivas podem ter
sido algo como viroides de vida livre com apenas umas poucas centenas de
nucleotídeos em seu comprimento. No final do século XX, talvez tenha início
um trabalho experimental para produzir essas criaturas a partir do zero.
Ainda há muito a ser compreendido quanto à origem da vida, inclusive a
origem do código genético. Mas só temos realizado esses experimentos há
uns trinta anos. A natureza começou 4 bilhões de anos antes. Considerando
tudo, não nos saímos tão mal.
Nada nesses experimentos diz respeito apenas à Terra. Os gases do início e
as fontes de energia são comuns em todo o cosmos. Reações químicas iguais
àquelas que fazemos nos recipientes de nossos laboratórios podem ser as
responsáveis pela matéria orgânica no espaço interestelar e pelos
aminoácidos encontrados em meteoritos. Uma química semelhante pode ter
corrido em 1 bilhão de outros mundos na Via Láctea. As moléculas da vida
enchem o cosmos.
Mas mesmo que a vida em outro planeta tenha a mesma química molecular
que tem aqui, não há motivo para se esperar que ela se apresente na forma de
organismos que nos são familiares. Considere a enorme diversidade das coisas
vivas na Terra, todas compartilhando o mesmo planeta e uma biologia
molecular idêntica. Aqueles outros animais e vegetais talvez sejam
radicalmente diferentes de quaisquer organismos que conhecemos aqui. Pode
haver alguma evolução convergente, porque talvez haja apenas uma solução
melhor para determinado problema ambiental — como a existência de dois
olhos, por exemplo, para proporcionar uma visão binocular em frequências
ópticas. Mas em geral o caráter aleatório do processo evolucionário deveria
gerar criaturas extraterrestres muito diferentes daquelas que conhecemos.
Não tenho como lhe dizer que aspecto teria um ser extraterrestre. Fico
terrivelmente limitado pelo fato de que só conheço um tipo de vida, a vida
na Terra. Algumas pessoas — escritores e artistas que trabalham com o tema
ficção científica, por exemplo — especularam sobre como poderiam ser esses
outros seres. Sou cético quanto à maioria dessas concepções extraterrestres. A
mim parece que se inspiram demais em formas de vida que já conhecemos.
"
59,"Cada organismo específico é do jeito que é devido a uma longa série de
etapas que são, em termos individuais, improváveis. Não creio que a forma de
vida em outro lugar, seja onde for, se pareça muito com a de um réptil, ou
um inseto, ou um humano — mesmo tendo pequenos ajustes cosméticos
como uma pele verde, orelhas pontudas e antenas. Mas se me pressionarem,
posso tentar imaginar algo bem diferente:
Num planeta gasoso gigante, como Júpiter, com atmosfera rica em
hidrogênio, hélio, metano, água e amônia, não existe algo sólido acessível na
superfície, e sim uma atmosfera densa e nublada, na qual moléculas orgânicas
podem estar caindo do céu como caía o maná, como os produtos de nossos
experimentos laboratoriais. Contudo, há um empecilho característico à vida
num planeta como esse: a atmosfera é turbulenta e muito quente em sua
camada mais profunda. Um organismo teria de ter cuidado para não ser
carregado para baixo e fritar.
Para demonstrar que a vida não é algo fora de questão num planeta tão
diferente, E. E. Salpeter, meu colega em Cornell, e eu fizemos alguns cálculos.
Claro que não temos como saber com exatidão como seria a vida num lugar
assim, mas queríamos ver se, dentro das leis da física e da química, um mundo
desse tipo tem possibilidade de ser habitado.
Uma forma de viver em tais condições é reproduzir-se antes de ser fritado
e esperar que a convecção carregue alguns de seus rebentos para as camadas
superiores e mais frescas da atmosfera. Esses organismos poderiam ser muito
pequenos. Nós os chamamos de “afundadores”. Mas você poderia ser também
um flutuador, algum grande balão de hidrogênio bombeando hélio e gases
pesados do seu interior, deixando apenas o gás mais leve, o hidrogênio; ou
então um balão de ar quente, que se mantém flutuando mediante seu interior
aquecido ao usar a energia adquirida do alimento que você come. Assim
como nos balões terrestres que nos são familiares, quanto mais fundo for
levado um flutuador, mais forte será a força de flutuação que o fará retornar
a regiões mais elevadas, frescas e seguras da atmosfera. Um flutuador poderia
comer moléculas orgânicas pré-formadas, ou criar as suas próprias da luz
solar e do ar, um pouco como fazem as plantas na Terra. Até certo ponto,
quanto maior for um flutuador, mais eficiente será. Salpeter e eu imaginamos
"
60,"flutuadores com quilômetros de envergadura, muitíssimo maiores que a
maior baleia que jamais existiu, seres do tamanho de cidades.
Esses flutuadores poderiam se propulsionar pela atmosfera do planeta com
jatos de gás, como um motor a reação ou um foguete. Nós os imaginamos
dispostos em grandes e preguiçosos rebanhos que vão até onde a vista pode
alcançar, com formas desenhadas em sua pele, uma camuflagem adaptativa a
implicar que eles também têm problemas. Pois deve haver pelo menos mais
um nicho ecológico num ambiente como esse: o da caça. Caçadores são
rápidos e estrategistas. Eles comem os flutuadores por suas moléculas
orgânicas e também por armazenarem hidrogênio puro. Afundadores ocos
teriam evoluído para formar os primeiros flutuadores, e flutuadores de
autopropulsão para formar os primeiros caçadores. Não pode haver muitos
caçadores, porque se consumissem todos os flutuadores, os próprios
caçadores estariam em perigo.
A física e a química permitem a existência dessas formas de vida. A arte
lhes outorga certo charme. A natureza, no entanto, não é obrigada a
acompanhar nossas especulações. Mas se existem bilhões de mundos
habitados na Via Láctea, talvez haja alguns habitados pelos afundadores,
flutuadores e caçadores que nossa imaginação, temperada pelas leis da física e
da química, concebeu.
A biologia se parece mais com a história do que com a física. Você tem de
conhecer o passado para compreender o presente. E tem de conhecê-lo em
detalhes. Ainda não existe uma teoria preditiva da biologia, assim como não
existe uma teoria preditiva da história. Os motivos são os mesmos: ambos os
assuntos ainda são complicados demais para nós. Mas podemos nos conhecer
melhor se compreendermos outros casos. O estudo de uma única ocorrência
de vida extraterrestre, não importa quão modesta seja, irá desprovincializar a
biologia. Pela primeira vez, os biólogos saberão quais outras formas de vida
são possíveis. Quando dizemos que a busca de vida em outro lugar é
importante, não estamos afirmando que será fácil encontrá-la — apenas que a
busca vale muito a pena.
Até agora ouvimos a voz da vida apenas em nosso pequeno mundo. Mas
por fim começamos a prestar atenção a outras vozes na fuga cósmica.
"
61,"* O termo true breed aqui usado no original refere-se à transmissão à geração seguinte das mesmas
características genéticas dos reprodutores. (N. T.)
"
62,"3. A harmonia de mundos
Não perguntamos para qual propósito útil os pássaros cantam, pois o canto é seu prazer, já que foram
criados para cantar. Da mesma forma, não devíamos perguntar por que a mente humana se esforça por
penetrar os segredos dos céus […]. A diversidade dos fenômenos da natureza é tão grande, e os tesouros
ocultos nos céus são tão ricos, exatamente para que a mente humana nunca esteja carente de uma
renovada nutrição.
Johannes Kepler, Mysterium Cosmographicum
Se vivêssemos num planeta onde nada nunca mudasse, pouco haveria para
fazer. Não haveria nada a descobrir. Não haveria incentivo para a ciência. E se
vivêssemos num mundo imprevisível, onde as coisas mudassem de modo
aleatório ou de maneiras muito complexas, não seríamos capazes de ter uma
ideia sobre as coisas. Mais uma vez, não haveria essa coisa chamada ciência.
Mas vivemos num universo intermediário, onde as coisas mudam, porém de
acordo com certos padrões, regras ou, como nós as chamamos, leis da
natureza. Se atirarmos um pedaço de pau para o ar, ele sempre cairá. Se o Sol
se põe no Ocidente, ele sempre nasce de novo na manhã seguinte no Oriente.
E assim fica possível ter uma ideia das coisas. Podemos fazer ciência, e com
isso melhorar nossas vidas.
Seres humanos são bons em entender o mundo. Sempre fomos. Só
conseguimos sair à caça ou de fazer fogueiras porque tínhamos uma ideia das
coisas. Houve um tempo anterior à televisão, aos filmes de cinema, ao rádio,
aos livros. A maior parte da existência humana foi passada nesse tempo. Em
torno das brasas da fogueira que se extinguiam, numa noite sem lua,
olhávamos as estrelas.
O céu noturno é interessante. Lá existem padrões, formatos. Sem sequer se
"
63,"esforçar, você pode imaginar figuras. No céu do Norte, por exemplo, há uma
configuração, ou constelação, que parece um pequeno urso. Algumas
culturas o chamam de Grande Urso, ou Ursa Maior. Outras veem imagens
bem diferentes. Essas figuras não estão de verdade no céu noturno; nós
mesmos as pomos lá. Fomos caçadores, e enxergamos caçadores e cães, ursos
e moças, todo tipo de coisa que nos interessa. Quando marinheiros europeus
do século XVIII viram o céu meridional pela primeira vez, eles puseram no céu
objetos de interesse do século XVII — tucanos e pavões, telescópios e
microscópios, bússolas e popas de navios. Se as constelações tivessem
recebido seus nomes no século XX, suponho que veríamos no céu bicicletas e
geladeiras, astros do rock ‘n’ roll e talvez até nuvens em forma de cogumelo
— um novo conjunto de esperanças e medos humanos colocados entre as
estrelas.
Vez ou outra nossos ancestrais viam uma estrela muito brilhante com uma
cauda, vislumbrada só por um momento, arremetendo através do céu. Eles a
chamavam de estrela cadente, mas não é um bom nome: as antigas estrelas
ainda estão lá depois que as estrelas cadentes caem. Em algumas épocas há
muitas estrelas cadentes; em outras, muito poucas. Aqui também existe certo
tipo de regularidade.
Assim como o Sol e a Lua, as estrelas sempre surgem no Leste e se põem no
Oeste, levando a noite toda para cruzar o céu, quando visíveis acima de
nossas cabeças. Em épocas diferentes constelações diferentes são visíveis. No
início do outono, digamos, são sempre as mesmas constelações que aparecem.
Nunca acontece de uma nova constelação aparecer de repente no Leste.
Existe uma ordem, uma previsibilidade, uma constância das estrelas. De certa
forma, isso é quase reconfortante.
Certas estrelas surgem logo antes ou se põem logo depois do Sol — e em
tempos e posições que variam com as estações do ano. Se você realizasse
observações cuidadosas das estrelas e as registrasse durante muitos anos,
poderia prever as estações. Também poderia medir qual é a época do ano
notando onde o Sol nasce no horizonte a cada dia. Nos céus existe um imenso
calendário, acessível a todos com dedicação, aptidão e meios para manter
esses registros.
"
64,"Nossos ancestrais construíram dispositivos para medir a passagem das
estações. Em Chaco Canyon, no Novo México, há uma grande kiva, ou
templo cerimonial, sem telhado, que remonta ao século XI. No dia 21 de
junho, que no hemisfério norte é o dia mais longo do ano, um raio de luz
solar entra por uma janela ao nascer do Sol e se move devagar, passando por
um nicho especial. Mas isso só acontece em 21 de junho. Imagine os
orgulhosos anasazis, povo que chamava a si mesmo de “Os Antigos”, reunidos
a cada dia 21 de junho, sentados nos bancos do templo, vestidos em suas
plumas, com seus chocalhos e suas turquesas, para celebrar o poder do Sol.
Eles monitoravam também o movimento aparente da Lua: os 28 nichos
superiores na kiva podem representar o número de dias que nosso satélite
leva para retornar à mesma posição entre as constelações. Essas pessoas
prestavam muita atenção ao Sol, à Lua e às estrelas. Outros dispositivos
fundamentados na mesma ideia encontram-se em Angkor Wat, no Camboja;
em Stonehenge, na Inglaterra; em Abu Simbel, no Egito; em Chichén Itzá, no
México; e nas Grandes Planícies da América do Norte.
Alguns desses supostos dispositivos que indicam um momento no
calendário podem ser capazes disso por mero acaso — um alinhamento
casual de uma janela e um nicho que se revela no dia 21 de junho, por
exemplo. Mas há outros dispositivos maravilhosamente diferentes. Em certo
local no Sudoeste americano há um conjunto de três lajes verticais que foram
movidas de sua posição original cerca de mil anos atrás. Na rocha foi gravada
uma espiral um pouco parecida com uma galáxia. No dia 21 de junho, o
primeiro dia do verão no hemisfério norte, um raio de sol, atravessando uma
brecha entre as lajes como se fosse um punhal, divide ao meio a espiral; e em
21 de dezembro, primeiro dia do inverno, há dois punhais de raios de sol que
flanqueiam a espiral, um sistema único para ler o calendário no céu usando o
sol do meio-dia.
Por que pessoas por todo o mundo fizeram tantos esforços para estudar
astronomia? Caçávamos gazelas, antílopes e búfalos, cujas migrações
diminuíam e aumentavam de acordo com as estações. Frutas e nozes estavam
prontas para serem colhidas em certas épocas, mas não em outras. Quando
inventamos a agricultura, tivemos de cuidar de plantar e colher nossas safras
"
65,"na época correta. Encontros anuais de tribos nômades dispersas eram
marcados em datas prefixadas. A aptidão para ler o calendário no céu era
literalmente uma questão de vida ou morte. O reaparecimento da lua
crescente depois da lua nova, o retorno do Sol após um eclipse total, a
ascensão do Sol pela manhã após sua preocupante ausência durante a noite
eram observados por pessoas no mundo inteiro; esses fenômenos falavam a
nossos ancestrais sobre a possibilidade de sobreviver à morte. Lá no céu havia
também uma metáfora da imortalidade.
O vento passa chicoteando através dos cânions do Sudoeste americano e
não há ninguém lá para ouvi-lo a não ser nós — reminiscentes de 40 mil
gerações de homens pensantes que nos precederam, sobre os quais não
sabemos quase nada, nos quais se baseia nossa civilização.
Com a passagem das eras, as pessoas aprendiam com seus ancestrais.
Quanto mais preciso fosse seu conhecimento da posição e dos movimentos
do Sol, da Lua e das estrelas, com mais plausibilidade você poderia prever
quando caçar, quando semear e colher, quando reunir as tribos. À medida
que aumentava a exatidão das medições, registros tiveram de ser guardados, e
assim 
a 
astronomia 
estimulou 
a 
observação, 
a 
matemática 
e 
o
desenvolvimento da escrita.
Porém então, muito mais tarde, surgiu outra ideia bem curiosa, um surto
de misticismo e superstição no que tinha sido sobretudo uma ciência
empírica. O Sol e as estrelas controlavam as estações, os alimentos, o
aquecimento. A Lua controlava as marés, os ciclos de vida de muitos animais
e talvez o período menstrual1 humano — de importância central para uma
espécie apaixonada e que se dedica a ter filhos. Havia outro tipo de objeto no
céu, estrelas itinerantes, ou errantes, chamadas planetas. Nossos ancestrais
nômades devem ter sentido certa afinidade com esses planetas. Sem contar o
Sol e a Lua, só conseguiam ver cinco deles, que se movimentavam contra um
fundo de estrelas mais distantes. Se você acompanhasse seu movimento
aparente durante muitos meses, veria esses astros deixar uma constelação,
entrar em outra, de vez em quando fazendo até uma espécie de lento loop
total de 360 graus no céu. Tudo o mais no céu parecia ter um efeito real
sobre a vida humana. Qual deveria ser então a influência dos planetas?
"
66,"Na sociedade ocidental contemporânea, comprar uma revista de astrologia
— digamos, numa banca de jornais — é fácil; muito mais difícil é achar uma
sobre astronomia. Quase todo jornal nos Estados Unidos tem uma coluna
sobre astrologia; dificilmente haverá algum que tenha uma coluna, mesmo
que semanal, sobre astronomia. Há dez vezes mais astrólogos do que
astrônomos no país. Em festas, quando conheço pessoas que não sabem que
sou cientista, às vezes me perguntam: “Você é de Gêmeos?” (probabilidade de
acerto: uma em doze) ou “Qual é o seu signo?”. É muito mais raro me
perguntarem: “Você ouviu dizer que em explosões de supernovas se forma
ouro?” ou “Quando você acha que o Congresso vai aprovar um Mars Rover,
uma sonda marciana?”.
A astrologia alega que a constelação na qual o planeta esteja no momento
do nascimento da pessoa exercerá profunda influência em seu futuro. Alguns
milhares de anos atrás se desenvolveu a ideia de que os movimentos dos
planetas determinavam os destinos de reis, dinastias, impérios. Os astrólogos
estudavam os movimentos dos planetas e se perguntavam o que tinha
acontecido, digamos, na última vez em que Vênus ascendera à constelação de
Capricórnio; talvez algo semelhante viesse a acontecer dessa vez também. Era
um negócio sutil e arriscado. Os astrólogos só eram empregados pelo Estado.
Em muitos países seria um delito grave qualquer pessoa que não o astrólogo
oficial interpretar os presságios dos céus: uma boa maneira de derrubar um
regime era predizer sua queda. Os astrólogos da corte chinesa que faziam
previsões inexatas eram executados. Outros simplesmente alteravam os
registros, de modo que depois estivessem em conformidade com os
acontecimentos. A astrologia desenvolveu-se numa estranha combinação de
observações, matemática e cuidadosos registros cheios de ideias turvas e pura
fraude.
Mas se planetas podiam determinar o destino de nações, como deixariam
de influenciar o que aconteceria comigo amanhã? A ideia da astrologia
pessoal desenvolveu-se em Alexandria, no Egito, e disseminou-se pelos
mundos grego e romano há cerca de 2 mil anos. Hoje reconhecemos a
antiguidade da astrologia em palavras como desastre, que vem do grego para
“estrela ruim”, influenza, do italiano para “influência” (astral), mazal tov, do
"
67,"hebraico — e, por fim, babilônio — para “boa constelação”, ou a palavra do
iídiche shlimazel, atribuída a que alguém atormentado por implacável azar,
que remonta de novo ao léxico astronômico babilônio. Segundo Plínio, havia
romanos que eram considerados sideratio, “tocados pelos planetas”. Os
planetas eram tidos como causa direta da morte. Ou considere a palavra
inglesa consider: significa “com os planetas”, evidentemente um pré-requisito
para uma reflexão mais séria. Considere as estatísticas de mortalidade na
cidade de Londres em 1632. Entre as terríveis perdas causadas por doenças
infantis e por enfermidades exóticas como “a elevação de luzes”, ou “o mal do
rei”, descobrimos que, de 9535 mortes, treze pessoas sucumbiram aos
“planetas”, mais do que as que morreram de câncer. Eu me pergunto quais
seriam os sintomas.
E a astrologia pessoal ainda existe entre nós: considere as seções de
astrologia em dois jornais diferentes, publicadas no mesmo dia na mesma
cidade. Por exemplo, examinemos a do New York Post e a do Daily News, em
21 de setembro de 1979. Suponhamos que você seja Libra — isto é, que nasceu
entre 23 de setembro e 22 de outubro. Segundo o astrólogo do Post, “um
acordo vai ajudar a aliviar a tensão”; útil, talvez, mas um tanto vago. Segundo
o astrólogo do Daily News, você deve “exigir mais de si mesmo”, uma
admoestação que também é vaga, mas também diferente. Essas “previsões”
não são previsões; são mais conselhos — dizem o que fazer, não o que vai
acontecer. Deliberadamente, são redigidas de modo tão genérico que se
poderiam aplicar a qualquer um. E apresentam grandes inconsistências uma
em relação à outra. Por que são publicadas sem o menor constrangimento,
como se fossem estatísticas esportivas ou relatórios da Bolsa de Valores?
A astrologia pode ser testada acompanhando-se a vida de gêmeos. Há
muitos casos nos quais um dos gêmeos morre na infância, num acidente de
carro, por exemplo, ou atingido por um raio, enquanto o outro vive até uma
próspera e provecta idade. Ambos nasceram no mesmo local e com minutos
de diferença. Os mesmos planetas eram ascendentes na hora de seus
nascimentos. Se a astrologia fosse para valer, como poderiam esses dois
gêmeos ter destinos tão diferentes? E constata-se também que astrólogos nem
sequer concordam entre eles quanto ao que significa um dado horóscopo. Em
"
68,"testes cuidadosos, são incapazes de predizer o caráter e o futuro de pessoas
das quais nada sabem, exceto a hora e o lugar de nascimento.2
Há um aspecto curioso no que tange a bandeiras nacionais no planeta
Terra. A bandeira dos Estados Unidos tem cinquenta estrelas; as da União
Soviética e de Israel, uma; a da Birmânia, catorze; as de Granada e da
Venezuela, sete; a da China, cinco; a do Iraque, três; a de São Tomé e
Príncipe, duas; as do Japão, Uruguai, Malawi, Bangladesh e Taiwan têm o
Sol; a do Brasil, uma esfera celeste; as da Austrália, Samoa Ocidental, Nova
Zelândia e Papua-Nova Guiné têm a constelação do Cruzeiro do Sul; a do
Butão, um dragão com pérolas, símbolo da Terra; a do Camboja tem o
observatório astronômico de Angkor Wat; as da Índia, Coreia do Sul e
República Popular da Mongólia, símbolos cosmológicos. As de muitas nações
socialistas exibem estrelas. As de muitos países islâmicos, luas crescentes.
Quase metade de nossas bandeiras nacionais estampa símbolos astronômicos.
É um fenômeno transcultural, não sectário, mundial. E não se restringe a
nossa época: carimbos cilíndricos da Suméria do terceiro milênio antes da
era cristã e bandeiras taoistas na China pré-revolucionária exibiam
constelações. As nações, não tenho dúvida, querem abraçar algo do poder e
da credibilidade dos céus. Buscamos uma conexão com o cosmos. Queremos
nos incluir na grande escala das coisas. E acontece que estamos conectados —
não do modo não imaginativo, pessoal, em pequena escala pretendido pelos
astrólogos, mas de modos mais profundos, que envolvem a origem da
matéria, a habitabilidade da Terra, a evolução e o destino da espécie humana,
temas aos quais ainda retornaremos.
A astrologia popular moderna remonta diretamente a Claudius
Ptolemaeus, que chamamos de Ptolomeu, conquanto não tenha relação com
os reis que tiveram esse nome. Ele trabalhou na Biblioteca de Alexandria, no
século II. Toda essa misteriosa questão de planetas ascendentes nessa ou
naquela “casa” solar ou lunar, ou da “Era de Aquário”, vem de Ptolomeu, que
codificou a tradição astrológica babilônia. Eis um horóscopo típico da época
de Ptolomeu, escrito em grego sobre papiro, para uma menininha nascida no
ano 150: “O nascimento de Filoe. Décimo ano do imperador Antonino César,
"
69,"15 a 16 de Phamenoth,* primeira hora da noite. Sol em Peixes, Júpiter e
Mercúrio em Áries, Saturno em Câncer, Marte em Leão, Vênus e a Lua em
Aquário, horóscopo Capricórnio”. O método de enumerar os meses e os anos
mudou muito mais no decurso dos séculos do que as sutilezas astrológicas.
Num excerto típico do livro de Ptolomeu sobre astrologia, o Tetrabiblos, lê-
se: “Saturno, se estiver no Oriente, torna seus súditos, na aparência, de pele
escura, robustos, de cabelos pretos encaracolados, de peito cabeludo, com
olhos de tamanho moderado, estatura média e, no temperamento, com
excesso de umidade e de frio”. Ptolomeu acreditava não só que os padrões de
comportamento eram influenciados pelos planetas e pelas estrelas, mas
também que questões de estatura, compleição, caráter nacional e até
anormalidades físicas congênitas eram determinadas pelas estrelas. Quanto a
isso, astrólogos modernos parecem ter adotado uma posição mais cautelosa.
Porém os astrólogos modernos se esqueceram da precessão dos equinócios,
o que Ptolomeu compreendia. Eles ignoram a refração atmosférica, sobre a
qual Ptolomeu escreveu. Quase não prestam atenção a todas as luas e todos os
planetas, asteroides e cometas, quasares e pulsares, galáxias que explodem,
estrelas simbióticas, variáveis cataclísmicas e fontes de raios X que têm sido
descobertos desde o tempo de Ptolomeu. A astronomia é uma ciência — o
estudo do universo tal como ele é. A astrologia é uma pseudociência — uma
reivindicação, sem ter uma boa evidência, de que outros planetas afetam
nossa vida cotidiana. Na época de Ptolomeu a distinção entre astronomia e
astrologia não estava clara. Hoje, está.
Como astrônomo, Ptolomeu deu nome a estrelas, registrou e listou seus
brilhos, apresentou boas razões para que se acreditasse que a Terra era uma
esfera, estabeleceu regras para a previsão de eclipses e, talvez o mais
importante, tentou compreender por que os planetas exibem esse estranho
movimento errante contra um fundo formado por constelações distantes. Ele
desenvolveu um modelo preditivo para se compreender os movimentos
planetários e se decodificar a mensagem dos céus. O estudo dos céus o levou
a uma espécie de êxtase. “Mortal como sou”, escreveu, “sei que nasci para
durar um dia. Mas quando acompanho sempre que quero a compacta
multiplicidade dos astros em seu curso circular, meus pés já não tocam a
"
70,"Terra…”
Ptolomeu acreditava que a Terra estava no centro do universo; que em
torno dela giravam o Sol, a Lua, planetas e estrelas. Essa é a ideia mais natural
do mundo. A Terra parece estável sólida, imóvel, e podemos ver os corpos
celestes se levantando e se pondo a cada dia. Toda cultura remetia à hipótese
geocêntrica. Como escreveu Johannes Kepler,
é portanto impossível que uma razão não previamente informada imaginasse outra coisa que não que a
Terra é uma espécie de grande casa com a abóbada celeste acima dela; que ela é imóvel e que dentro
dela o Sol, sendo tão pequeno, passa de uma região a outra, como um pássaro vagando pelo ar.
Mas como explicamos o movimento aparente dos planetas — Marte, por
exemplo, que já era conhecido milhares de anos antes da época de Ptolomeu?
(Um dos epítetos atribuídos a Marte pelos antigos egípcios era sekded-ef em
khetkhet, que significa “que anda para trás”, clara referência a seu aparente
movimento retrógrado, ou um loop de 360 graus.)
O modelo de movimento planetário de Ptolomeu pode ser representado
por uma pequena máquina, como aquelas que, com propósito similar,
existiam no seu tempo.3 O problema consistia em descobrir qual era o
movimento “real” dos planetas, como visto lá de cima, “do lado de fora”, para
a máquina reproduzir com grande exatidão o movimento aparente dos
planetas, como visto aqui de baixo, “do lado de dentro”.
Imaginava-se que os planetas giravam em torno da Terra afixados em
esferas perfeitas e transparentes. Mas eles não estavam presos às esferas
diretamente, e sim por meio de uma espécie de roda descentrada. A esfera
gira, a pequena roda gira e, como é visto da Terra, Marte faz seu loop de 360
graus. Esse modelo permite que se façam previsões razoavelmente precisas do
movimento planetário, boas o bastante para o grau de precisão nas medições
disponíveis no tempo de Ptolomeu, e até muitos séculos depois.
"
71,"No sistema geocêntrico de Ptolomeu, a pequena esfera, chamada
epiciclo, que contém o planeta, gira anexada a uma esfera maior que
gira também, produzindo um movimento retrógrado aparente contra
o fundo de estrelas distantes.
"
72,"No sistema de Copérnico, a Terra e outros planetas movem-se em
órbitas circulares. Quando a Terra ultrapassa Marte, este tem um
aparente movimento retrógrado contra o fundo de estrelas distantes.
"
